geo,group5,delta_pp,eu27_delta_pp,value,geo_label,outlier,start_year,end_year,window,window_slug
DK,Bottom 20%,1.1999999999999993,-0.09999999999999964,1.299999999999999,Denmark (DK),Best 3,2010,2013,GFC + Euro debt,gfc_eurodebt
LT,Bottom 20%,1.0,-0.09999999999999964,1.0999999999999996,Lithuania (LT),Best 3,2010,2013,GFC + Euro debt,gfc_eurodebt
UK,Bottom 20%,0.7000000000000011,-0.09999999999999964,0.8000000000000007,United Kingdom (UK),Best 3,2010,2013,GFC + Euro debt,gfc_eurodebt
HU,Bottom 20%,-1.3000000000000007,-0.09999999999999964,-1.200000000000001,Hungary (HU),Worst 3,2010,2013,GFC + Euro debt,gfc_eurodebt
EL,Bottom 20%,-0.9999999999999991,-0.09999999999999964,-0.8999999999999995,Greece (EL),Worst 3,2010,2013,GFC + Euro debt,gfc_eurodebt
RO,Bottom 20%,-0.6999999999999993,-0.09999999999999964,-0.5999999999999996,Romania (RO),Worst 3,2010,2013,GFC + Euro debt,gfc_eurodebt
IS,Lower-middle 20%,0.5,-0.09999999999999964,0.5999999999999996,Iceland (IS),Best 3,2010,2013,GFC + Euro debt,gfc_eurodebt
UK,Lower-middle 20%,0.5,-0.09999999999999964,0.5999999999999996,United Kingdom (UK),Best 3,2010,2013,GFC + Euro debt,gfc_eurodebt
SK,Lower-middle 20%,0.4999999999999982,-0.09999999999999964,0.5999999999999979,Slovakia (SK),Best 3,2010,2013,GFC + Euro debt,gfc_eurodebt
HU,Lower-middle 20%,-0.7999999999999989,-0.09999999999999964,-0.6999999999999993,Hungary (HU),Worst 3,2010,2013,GFC + Euro debt,gfc_eurodebt
CY,Lower-middle 20%,-0.6999999999999993,-0.09999999999999964,-0.5999999999999996,Cyprus (CY),Worst 3,2010,2013,GFC + Euro debt,gfc_eurodebt
BG,Lower-middle 20%,-0.5000000000000018,-0.09999999999999964,-0.40000000000000213,Bulgaria (BG),Worst 3,2010,2013,GFC + Euro debt,gfc_eurodebt
EL,Middle 20%,0.5,0.0,0.5,Greece (EL),Best 3,2010,2013,GFC + Euro debt,gfc_eurodebt
SK,Middle 20%,0.5,0.0,0.5,Slovakia (SK),Best 3,2010,2013,GFC + Euro debt,gfc_eurodebt
IS,Middle 20%,0.49999999999999645,0.0,0.49999999999999645,Iceland (IS),Best 3,2010,2013,GFC + Euro debt,gfc_eurodebt
CY,Middle 20%,-0.9000000000000021,0.0,-0.9000000000000021,Cyprus (CY),Worst 3,2010,2013,GFC + Euro debt,gfc_eurodebt
DK,Middle 20%,-0.7000000000000028,0.0,-0.7000000000000028,Denmark (DK),Worst 3,2010,2013,GFC + Euro debt,gfc_eurodebt
HU,Middle 20%,-0.5999999999999943,0.0,-0.5999999999999943,Hungary (HU),Worst 3,2010,2013,GFC + Euro debt,gfc_eurodebt
EL,Upper-middle 20%,0.6999999999999993,0.09999999999999787,0.6000000000000014,Greece (EL),Best 3,2010,2013,GFC + Euro debt,gfc_eurodebt
UK,Upper-middle 20%,0.5,0.09999999999999787,0.40000000000000213,United Kingdom (UK),Best 3,2010,2013,GFC + Euro debt,gfc_eurodebt
SK,Upper-middle 20%,0.4000000000000057,0.09999999999999787,0.3000000000000078,Slovakia (SK),Best 3,2010,2013,GFC + Euro debt,gfc_eurodebt
DK,Upper-middle 20%,-0.8999999999999986,0.09999999999999787,-0.9999999999999964,Denmark (DK),Worst 3,2010,2013,GFC + Euro debt,gfc_eurodebt
BG,Upper-middle 20%,-0.5,0.09999999999999787,-0.5999999999999979,Bulgaria (BG),Worst 3,2010,2013,GFC + Euro debt,gfc_eurodebt
LU,Upper-middle 20%,-0.5,0.09999999999999787,-0.5999999999999979,Luxembourg (LU),Worst 3,2010,2013,GFC + Euro debt,gfc_eurodebt
HU,Top 20%,3.0,0.30000000000000426,2.6999999999999957,Hungary (HU),Best 3,2010,2013,GFC + Euro debt,gfc_eurodebt
CY,Top 20%,2.200000000000003,0.30000000000000426,1.8999999999999986,Cyprus (CY),Best 3,2010,2013,GFC + Euro debt,gfc_eurodebt
LU,Top 20%,2.0999999999999943,0.30000000000000426,1.79999999999999,Luxembourg (LU),Best 3,2010,2013,GFC + Euro debt,gfc_eurodebt
UK,Top 20%,-2.200000000000003,0.30000000000000426,-2.500000000000007,United Kingdom (UK),Worst 3,2010,2013,GFC + Euro debt,gfc_eurodebt
LT,Top 20%,-1.7999999999999972,0.30000000000000426,-2.1000000000000014,Lithuania (LT),Worst 3,2010,2013,GFC + Euro debt,gfc_eurodebt
IS,Top 20%,-1.6000000000000014,0.30000000000000426,-1.9000000000000057,Iceland (IS),Worst 3,2010,2013,GFC + Euro debt,gfc_eurodebt
